horizon_hours,model,rmse,mae,r2
24,Persistence,20.78076968302701,16.051353226925745,0.5049563007134127
24,Ridge,18.55619680468172,14.168295950963993,0.6052717408974781
24,Random Forest,19.111772082929257,14.76820585749533,0.5812814565897921
24,XGBoost,18.203559595365885,14.207653921896348,0.6201318172201805
24,PyTorch MLP,20.183599544957204,14.857459058371127,0.5329993111528686
48,Persistence,27.066230743017798,21.49965301873699,0.18828508797079935
48,Ridge,24.035687425178875,19.249655444152904,0.35988049645816167
48,Random Forest,23.32331546020091,18.891414624894495,0.39726204897315476
48,XGBoost,22.865469597610378,18.59226099738307,0.42069374892070344
48,PyTorch MLP,28.262960252421152,20.621457144256105,0.1149185062560929
72,Persistence,30.701581267045775,23.959750173490633,-0.04266510131535717
72,Ridge,26.747647557346333,21.57445822442855,0.20860275607549517
72,Random Forest,24.66913437502448,19.619869731453793,0.32682005282413984
72,XGBoost,23.799960409919457,19.176627731587967,0.3734210239801341
72,PyTorch MLP,29.422625986079357,22.07134949937618,0.0423954262697247
